Fast Food,Store Name,Street,City,State,Zip,Country,unique_address,LAT,LONG
Pizza Hut,Roxburgh Park,"Shop 62, Roxburgh Park Shopping Centre, 250 Somerton Road",Roxburgh Park,VIC,3064,Australia,"Shop 62, Roxburgh Park Shopping Centre, 250 Somerton Road,Roxburgh Park,VIC,3064,Australia",-37.64066317,144.9313736
Pizza Hut,Runaway Bay,390 Oxley Dr,Runaway Bay,QLD,4216,Australia,"390 Oxley Dr,Runaway Bay,QLD,4216,Australia",-27.91258498,153.3884165
Pizza Hut,Rutherford,"Shop T15 Rutherford Market Place, Hillview St",Rutherford,NSW,2320,Australia,"Shop T15 Rutherford Market Place, Hillview St,Rutherford,NSW,2320,Australia",-32.7174273,151.526898
Pizza Hut,Semaphore,114 Semaphore Rd,Semaphore,SA,5019,Australia,"114 Semaphore Rd,Semaphore,SA,5019,Australia",-34.839984,138.4878506
Pizza Hut,Seven Hills,53 Boomerang Pl,Seven Hills,NSW,2147,Australia,"53 Boomerang Pl,Seven Hills,NSW,2147,Australia",-33.77493928,150.9356942
Pizza Hut,Shellharbour,15 College Ave,Shellharbour,NSW,2529,Australia,"15 College Ave,Shellharbour,NSW,2529,Australia",-34.56718222,150.8364537
Pizza Hut,South Lake,"Shop 20-22 The Lakes Shopping Centre, 620 North Lake Rd",South Lake,WA,6164,Australia,"Shop 20-22 The Lakes Shopping Centre, 620 North Lake Rd,South Lake,WA,6164,Australia",-32.10674998,115.82776
Pizza Hut,South Mackay,"Shop 2-3, 135-137 Nebo Rd",South Mackay,QLD,4740,Australia,"Shop 2-3, 135-137 Nebo Rd,South Mackay,QLD,4740,Australia",-21.15558155,149.1648085
Pizza Hut,South Melbourne,203 Clarendon St South,Melbourne,VIC,3205,Australia,"203 Clarendon St South,Melbourne,VIC,3205,Australia",-37.83050151,144.9596735
Pizza Hut,South Rockhampton,Shop 1 Cnr George & Fitzroy Street,Rockhampton,QLD,4700,Australia,"Shop 1 Cnr George & Fitzroy Street,Rockhampton,QLD,4700,Australia",-23.38095199,150.5049418
Pizza Hut,Southport,"Shop 5, 201 Ferry Rd",Southport,QLD,4215,Australia,"Shop 5, 201 Ferry Rd,Southport,QLD,4215,Australia",-27.99023963,153.4118905
Pizza Hut,Spearwood,"Shop 4, 252 Rockingham Rd",Spearwood,WA,6163,Australia,"Shop 4, 252 Rockingham Rd,Spearwood,WA,6163,Australia",-32.09698997,115.78313
Pizza Hut,Springvale,"Shop 1, 23 Springvale Rd",Springvale,VIC,3171,Australia,"Shop 1, 23 Springvale Rd,Springvale,VIC,3171,Australia",-37.93500743,145.1555796
Pizza Hut,Springwood,"Shop 7A, 1 Achilles Dr",Springwood,QLD,4127,Australia,"Shop 7A, 1 Achilles Dr,Springwood,QLD,4127,Australia",-27.63362544,153.1407477
Pizza Hut,St Helens Park,Shop 2/24 Woodland Rd,St Helens Park,NSW,2560,Australia,"Shop 2/24 Woodland Rd,St Helens Park,NSW,2560,Australia",-34.09749469,150.8135735
Pizza Hut,St Johns Park,2 / 56-70 Canberra St,St Johns Park,NSW,2176,Australia,"2 / 56-70 Canberra St,St Johns Park,NSW,2176,Australia",-33.8784495,150.8997016
Pizza Hut,St Kilda,"Shop 3, 73 Fitzroy St",St Kilda,VIC,3182,Australia,"Shop 3, 73 Fitzroy St,St Kilda,VIC,3182,Australia",-37.8610442,144.9757684
Pizza Hut,St Marys,"Shop 4, 9-11 Gallipoli St",St Marys,NSW,2760,Australia,"Shop 4, 9-11 Gallipoli St,St Marys,NSW,2760,Australia",-33.78105061,150.7694572
Pizza Hut,Stanmore,106-110 Parramatta Rd,Stanmore,NSW,2048,Australia,"106-110 Parramatta Rd,Stanmore,NSW,2048,Australia",-33.88810981,151.1689693
Pizza Hut,Strathpine,"Shop 2 , 454 Gympie Road",Strathpine,QLD,4500,Australia,"Shop 2 , 454 Gympie Road,Strathpine,QLD,4500,Australia",-27.30217071,152.9877897
Pizza Hut,Stretton,Shop 6 / 66 Condamine Street,Runcorn,QLD,4113,Australia,"Shop 6 / 66 Condamine Street,Runcorn,QLD,4113,Australia",-27.61055744,153.0669298
Pizza Hut,Sunbury,4/85 Belleview Drive,Sunbury,VIC,3429,Australia,"4/85 Belleview Drive,Sunbury,VIC,3429,Australia",-37.59453312,144.7238914
Pizza Hut,Sunshine West,"Shop 3, 1-5 The Ave",Sunshine West,VIC,3020,Australia,"Shop 3, 1-5 The Ave,Sunshine West,VIC,3020,Australia",-37.7960339,144.7903548
Pizza Hut,Surry Hills,"Shop 1-2, 450 Elizabeth St",Surry Hills,NSW,2010,Australia,"Shop 1-2, 450 Elizabeth St,Surry Hills,NSW,2010,Australia",-33.88728528,151.2083581
Pizza Hut,Sutherland,"Shop 2, 818-820 Old Princes Hwy",Sutherland,NSW,2232,Australia,"Shop 2, 818-820 Old Princes Hwy,Sutherland,NSW,2232,Australia",-34.03307608,151.0570562
Pizza Hut,Swan View,"Shop 4, 297 Morrison Rd",Swan View,WA,6056,Australia,"Shop 4, 297 Morrison Rd,Swan View,WA,6056,Australia",-31.88560001,116.03951
Pizza Hut,Taigum,"Shop 56 Taigum Shopping Centre, 215 Beams Rd",Taigum,QLD,4018,Australia,"Shop 56 Taigum Shopping Centre, 215 Beams Rd,Taigum,QLD,4018,Australia",-27.35005204,153.048042
Pizza Hut,Tamworth,"Lot 246 , Goonoo Goonoo Road",Tamworth,NSW,2340,Australia,"Lot 246 , Goonoo Goonoo Road,Tamworth,NSW,2340,Australia",-31.10961841,150.9235708
Pizza Hut,Tarneit,"Shop 3, 409-413 Derrimut Rd",Tarneit,VIC,3029,Australia,"Shop 3, 409-413 Derrimut Rd,Tarneit,VIC,3029,Australia",-37.84792027,144.687567
Pizza Hut,The Lakes,Shop 3/196A Woolcock St,Currajong,QLD,4812,Australia,"Shop 3/196A Woolcock St,Currajong,QLD,4812,Australia",-19.27118488,146.7842667
